year_num,year,area_lakh_ha,production_lakh_tonnes,yield_kg_per_ha,msp_rs_per_quintal,production_mt,prod_growth_pct,msp_growth_pct,log_production,log_msp
2000,2000-01,25686,69681,2713,580,69.681,NA,NA,8.84909786974968,6.363028103540465
2001,2001-02,26374,72766,2760,610,72.766,4.427318781303368,5.172413793103448,8.892418999129834,6.413458957167357
2002,2002-03,25096,65761,2620,620,65.761,-9.626748756287276,1.639344262295082,8.791197143433045,6.429719478039138
2003,2003-04,26417,72156,2731,630,72.156,9.724608810693269,1.6129032258064515,8.884000627833524,6.4457198193855785
2004,2004-05,26418,68637,2598,640,68.637,-4.876933311159163,1.5873015873015872,8.834001933918945,6.461468176353717
2005,2005-06,26482,69350,2619,650,69.35,1.0387983157772074,1.5625,8.844336332748933,6.476972362889683
2006,2006-07,28.04,75798,2703,650,75.798,9.297764960346074,0,8.933242093064047,6.476972362889683
2007,2007-08,27753,78570,2831,750,78.57,3.6570885775350246,15.384615384615383,8.969160133175821,6.620073206530356
2008,2008-09,27748,80682,2908,1000,80.682,2.6880488736158816,33.33333333333333,8.995685688057879,6.907755278982137
2009,2009-10,28.46,80711,2836,1080,80.711,0.03594358097221865,8,8.996045059286025,6.984716320118266
2010,2010-11,29073,86874,2988,1100,86.874,7.635886062618469,1.8518518518518516,9.06962897901543,7.003065458786462
2011,2011-12,29888,94880,3174,1120,94.88,9.21564564771969,1.818181818181818,9.157783121237507,7.02108396428914
2012,2012-13,30000,93510,3117,1285,93.51,-1.443929173693086,14.732142857142858,9.143238568435446,7.158513997329321
2013,2013-14,30428,95850,3150,1350,95.85,2.5024061597690084,5.058365758754864,9.167954655479743,7.2078598714324755
2014,2014-15,31475,86530,2749,1400,86.53,-9.723526343244652,3.7037037037037033,9.06566136060674,7.24422751560335
2015,2015-16,31466,92290,2933,1450,92.29,6.656650872529759,3.571428571428571,9.130105979265576,7.27931883541462
2016,2016-17,30220,87000,2880,1525,87,-5.731931953624445,5.172413793103448,9.071078304642676,7.329749689041512
2017,2017-18,30785,98510,3201,1625,98.51,13.229885057471265,6.557377049180328,9.19532825185568,7.393263094763838
2018,2018-19,29651,99870,3368,1735,99.87,1.3805705004568063,6.769230769230769,9.209039526243137,7.45876269238096
2019,2019-20,29319,103600,3534,1840,103.6,3.734855311905477,6.051873198847262,9.245707515813471,7.517520850603031
2020,2020-21,31357,107860,3440,1925,107.86,4.1119691119691115,4.619565217391304,9.286004275897172,7.562681246721884
2021,2021-22,31125,109590,3521,1975,109.59,1.6039310216947895,2.5974025974025974,9.301916315463393,7.5883236773352225
2022,2022-23,30459,104000,3414,2015,104,-5.100830367734282,2.0253164556962027,9.249561085129464,7.608374474380783
2023,2023-24,31401,110550,3520,2125,110.55,6.298076923076923,5.459057071960298,9.310638093291546,7.661527081358517
2024,2024-25,31833,113292,3558,2275,113.292,2.480325644504756,7.0588235294117645,9.335138742526471,7.729735331385051
