year,area_lakh_ha,production_lakh_tonnes,yield_kg_per_ha
2000-01,25686,69681,2713
2001-02,26374,72766,2760
2002-03,25096,65761,2620
2003-04,26417,72156,2731
2004-05,26418,68637,2598
2005-06,26482,69350,2619
2006-07,28.04,75798,2703
2007-08,27753,78570,2831
2008-09,27748,80682,2908
2009-10,28.46,80711,2836
2010-11,29073,86874,2988
2011-12,29888,94880,3174
2012-13,30000,93510,3117
2013-14,30428,95850,3150
2014-15,31475,86530,2749
2015-16,31466,92290,2933
2016-17,30220,87000,2880
2017-18,30785,98510,3201
2018-19,29651,99870,3368
2019-20,29319,103600,3534
2020-21,31357,107860,3440
2021-22,31125,109590,3521
2022-23,30459,104000,3414
2023-24,31401,110550,3520
2024-25,31833,113292,3558
